"pathway","pval","padj","log2err","ES","NES","size","drug_name","direction","is_candidate"
"LIN_NPAS4_TARGETS_DN",0.0403078792789143,0.0993534754118104,0.070908526474039,0.735511153662971,1.26136476497491,61,"LIN_NPAS4_TARGETS","DN",FALSE
"ODONNELL_METASTASIS_UP",0.0405446293494705,0.099847080018138,0.0705397288527552,0.724877089277208,1.24683486117161,69,"ODONNELL_METASTASIS","UP",FALSE
"ZAMORA_NOS2_TARGETS_DN",0.0407239819004525,0.100198574172336,0.0702666782298212,0.71723816029885,1.23510530678721,79,"ZAMORA_NOS2_TARGETS","DN",FALSE
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_UP",0.0410091466479043,0.100700813484463,0.0699966062484901,0.716391314203031,1.23416296087905,80,"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE","UP",FALSE
"SMID_BREAST_CANCER_ERBB2_UP",0.041016406562625,0.100700813484463,0.069818186147199,0.692729993647062,1.19637800683886,126,"SMID_BREAST_CANCER_ERBB2","UP",FALSE
"OLSSON_E2F3_TARGETS_DN",0.0410385259631491,0.100700813484463,0.071472137805893,0.779256059000171,1.30397031073625,34,"OLSSON_E2F3_TARGETS","DN",FALSE
"BURTON_ADIPOGENESIS_PEAK_AT_0HR",0.0411305845405734,0.10083627177689,0.0701763259905319,0.735955844333636,1.26230781872757,60,"BURTON_ADIPOGENESIS_PEAK_AT_0HR","BOTH",FALSE
"LINDGREN_BLADDER_CANCER_CLUSTER_3_DN",0.0415958404159584,0.101802258747408,0.0692905673045036,0.666475229475284,1.15624175788594,219,"LINDGREN_BLADDER_CANCER_CLUSTER_3","DN",FALSE
"BAKKER_FOXO3_TARGETS_DN",0.0416083216643329,0.101802258747408,0.0692905673045036,0.681029333941848,1.17831269989133,161,"BAKKER_FOXO3_TARGETS","DN",FALSE
"MCGARVEY_SILENCED_BY_METHYLATION_IN_COLON_CANCER",0.04163623082542,0.101802258747408,0.0708158139319178,0.77689488285233,1.30249948579811,35,"MCGARVEY_SILENCED_BY_METHYLATION_IN_COLON_CANCER","BOTH",FALSE
