"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"3,5,3-Triiodothyroacetate-Beta-D-Glucuronoside",12,0.121,4.388,-0.192,0.5761,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"trans-4-hydroxy-L-proline",10,-0.052,3.936,-0.192,0.576,"P4HA1; P4HB; P4HA2; P4HA3; PYCR3; PYCR2; PYCR1; CLTRN",0.9929
"N-pantothenoylcysteine",3,0.024,2.11,-0.196,0.5778,"PANK1; PANK3; PANK2",0.9929
"malonyl-carnitine",8,0.116,3.503,-0.198,0.5784,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"11-carboxy-gamma-tocotrienol",28,0.098,6.813,-0.199,0.5789,"SLC27A2; HSD17B4; ACOX3; ACOT1; HADH; ACSF3; ACOT4; AMACR",0.9929
"4-cholesten-7alpha,27-diol-3-one",3,-0.131,2.102,-0.199,0.5788,"HSD3B7; CYP8B1; AKR1D1",0.9929
"prostaglandin F1alpha",3,-0.32,2.047,-0.199,0.5788,"SLCO1B1; SLCO2A1; SLC22A10",0.9929
"chloral hydrate",9,0.108,3.786,-0.2,0.5794,"ALDH3A1; ALDH1A3; ALDH3B1; ADH4; ADH5; ADH7; ADH6; ADH1C",0.9929
"2-hydroxybutyrate",11,-0.153,4.164,-0.202,0.5799,"LDHB; LDHC; LDHAL6A; LDHAL6B; SLC16A4; SLC16A7; SLC16A1; SLC16A5",0.9929
"phenylpyruvate",10,-0.064,3.961,-0.203,0.5805,"GOT2; TAT; GOT1; HPD; MIF; SLC16A3; SLC16A7; SLC16A1",0.9929
"11-carboxy-alpha-tocotrienol",28,0.098,6.813,-0.204,0.5809,"SLC27A2; HSD17B4; ACOX3; ACOT1; HADH; ACSF3; ACOT4; AMACR",0.9929
"prostaglandin B2",3,-0.32,2.047,-0.205,0.5812,"SLCO1B1; SLCO2A1; SLC22A10",0.9929
"citrate",8,0.194,3.499,-0.207,0.5818,"SLC25A1; CS; ACLY; ACO1; ACO2; SLC13A5; SLC13A2; SLC13A3",0.9929
"sphingosine-1-phosphate",13,0.117,4.538,-0.207,0.5822,"SPHK1; SPHK2; DBP; PLPP3; LPIN2; PLPP2; LPIN3; PLPP1",0.9929
"thiamin-P",3,0.192,2.089,-0.207,0.5821,"SLC19A1; NTPCR; SLC25A19",0.9929
"25-hydroxyvitamin D3-26,23-lactone",3,-0.103,2.129,-0.209,0.5828,"CYP2E1; COQ6; CYP4V2",0.9929
"benzo[a]pyrene-4,5-oxide",26,-0.198,6.504,-0.21,0.583,"EPHX2; EPHX1; CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19",0.9929
"3,3,5-Triiodothyroacetate-Beta-D-Glucuronoside",12,0.121,4.388,-0.211,0.5834,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"prostaglandin C2",3,-0.32,2.047,-0.211,0.5834,"SLCO1B1; SLCO2A1; SLC22A10",0.9929
"propinol adenylate",3,0.313,2.113,-0.212,0.584,"ACSS3; ACSS1; ACSS2",0.9929
"bile-PC pool",3,0.172,2.104,-0.214,0.5846,"CHPT1; CEPT1; ABCB4",0.9929
"7-carboxy-gamma-tocotrienol",28,0.098,6.813,-0.215,0.585,"SLC27A2; HSD17B4; ACOX3; ACOT1; HADH; ACSF3; ACOT4; AMACR",0.9929
"9-carboxy-gamma-tocotrienol",28,0.098,6.813,-0.216,0.5856,"SLC27A2; HSD17B4; ACOX3; ACOT1; HADH; ACSF3; ACOT4; AMACR",0.9929
"1,2-diacylglycerol-LD-SM pool",20,0.166,5.654,-0.217,0.586,"PLPP3; LPIN2; LPIN3; PLPP2; PLPP5; LPIN1; PLPP4; PLPPR2",0.9929
"3-ketolactose",4,-0.03,2.407,-0.218,0.5861,"GLB1L; LCT; GLB1; TMPPE",0.9929
"maltotriose",6,-0.071,3.011,-0.218,0.5863,"LYZL1; AMY2B; AMY1A; GANC; MGAM; GAA",0.9929
"3-keto-beta-D-galactose",4,-0.03,2.407,-0.22,0.5872,"GLB1L; LCT; GLB1; TMPPE",0.9929
"GMP",47,0.058,8.836,-0.22,0.587,"GUK1; GMPS; PDE1C; PDE2A; PDE6C; PDE3A; PDE4D; PDE1A",0.9929
"3,5-Diiodothyroacetate-Beta-D-Glucuronoside",12,0.121,4.388,-0.224,0.5887,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"mannose",18,0.078,5.345,-0.224,0.5885,"MAN2C1; HK1; HK2; HK3; HKDC1; SLC2A3; SLC2A1; SLC2A2",0.9929
"phosphatidylinositol-3,4,5-trisphosphate",30,0.052,6.993,-0.224,0.5886,"PIP5K1C; PIP5K1B; PIP5K1A; PIP4K2C; PIP4K2A; PIP4K2B; PIK3CG; PIK3CD",0.9929
"prostaglandin B1",3,-0.32,2.047,-0.224,0.5888,"SLCO1B1; SLCO2A1; SLC22A10",0.9929
"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA",31,0.088,7.108,-0.231,0.5912,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.9929
"hexacosenoyl-CoA",25,0.046,6.319,-0.234,0.5925,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.9929
"IMP",26,0.097,6.438,-0.236,0.5933,"ATIC; IMPDH1; IMPDH2; ADSS1; ADSS2; AMPD2; AMPD3; AMPD1",0.9929
"glucono-1,5-lactone-6-phosphate",3,0.137,2.093,-0.239,0.5944,"G6PD; H6PD; PGLS",0.9929
"lactose-6-phosphate",4,-0.03,2.407,-0.24,0.5947,"GLB1L; LCT; GLB1; TMPPE",0.9929
"m3emgacpail heparan sulfate",4,-0.052,2.438,-0.243,0.5962,"PIGZ; PIGO; PIGG; PIGF",0.9929
"25(R)THCA-CoA",4,-0.116,2.415,-0.244,0.5962,"AMACR; SLC27A2; SLC27A5; CYP8B1",0.9929
"sulfoglycolithocholate",4,-0.249,2.402,-0.244,0.5966,"SULT2A1; STS; SLCO1B3; SLCO1A2",0.9929
"reverse triiodthyronine",26,0.131,6.526,-0.247,0.5975,"SLCO1B3; SLCO1A2; SLCO1B1; SLCO4A1; DIO1; DIO2; UGT3A1; UGT2B4",0.9929
"prostaglandin D1",3,-0.32,2.047,-0.254,0.6001,"SLCO1B1; SLCO2A1; SLC22A10",0.9929
"LTD4",7,0.228,3.27,-0.258,0.6016,"GGT1; GGT7; GGT6; GGT5; DPEP2; SLCO1B1; SLCO2A1",0.9929
"cholest-5-ene-3beta,7alpha,27-triol",4,-0.106,2.413,-0.261,0.6029,"CYP7B1; HSD3B7; CYP2E1; CYP27A1",0.9929
"galacgalfucgalacglcgal14acglcgalgluside heparan sulfate",3,-0.018,2.005,-0.261,0.603,"B3GNT3; FUT1; FUT2",0.9929
"prostaglandin D3",3,-0.32,2.047,-0.261,0.6028,"SLCO1B1; SLCO2A1; SLC22A10",0.9929
"Trans2,6Dodecadienoyl Coenzyme A",4,0.072,2.348,-0.262,0.6035,"ACAA2; ECHS1; HADH; ECI1",0.9929
"1-methylnicotinamide",4,-0.04,2.353,-0.264,0.604,"NNMT; AOX1; SLC22A2; SLC22A1",0.9929
"prostaglandin C1",3,-0.32,2.047,-0.265,0.6046,"SLCO1B1; SLCO2A1; SLC22A10",0.9929
"7alpha-hydroxycholest-4-en-3-one",9,-0.161,3.668,-0.268,0.6056,"HSD3B7; CYP8B1; AKR1D1; HSD3B1; HSD3B2; ABCB11; ABCC3; ABCC11",0.9929
"Trans5,8Tetradecadienoyl Coenzyme A",3,0.165,1.976,-0.269,0.6059,"HADHA; ACADVL; HADHB",0.9929
"lanosterol",3,0.487,1.991,-0.275,0.6085,"LSS; CYP51A1; DHCR24",0.9929
"iso-nLc8Cer",3,-0.018,2.005,-0.278,0.6094,"FUT1; FUT2; B3GNT3",0.9929
"glycogenin G11",5,-0.067,2.64,-0.286,0.6127,"GYG2; GYS2; GYS1; GYG1; GBE1",0.9929
"benzoate",5,0.217,2.722,-0.289,0.6138,"CES5A; CES3; CES1; CES2; ALDH3B1",0.9929
"prostaglandin F2beta",3,-0.32,2.047,-0.298,0.6173,"SLCO1B1; SLCO2A1; SLC22A10",0.9929
"eicosadienoylcarnitine",8,0.143,3.409,-0.306,0.6203,"CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2; SLC22A5",0.9929
"em2emgacpail_prot heparan sulfate",6,0.086,2.951,-0.306,0.6201,"PIGK; GPAA1; PIGT; PIGU; PIGS; PGAP1",0.9929
"7-Tetradecenoyl Coenzyme A",3,0.165,1.976,-0.314,0.6234,"HADHA; ACADVL; HADHB",0.9929
"galacgalfuc12gal14acglcgalgluside heparan sulfate",3,-0.018,2.005,-0.315,0.6236,"B3GNT3; FUT1; FUT2",0.9929
"cobamide-coenzyme",4,0.308,2.304,-0.317,0.6245,"AMN; CUBN; MMAA; MMAB",0.9929
"Trans-3-Cis-8-Tetradecadienoyl Coenzyme A",3,0.181,1.932,-0.325,0.6275,"DECR1; ECI2; ECI1",0.9929
"gpi_prot heparan sulfate",6,0.086,2.951,-0.326,0.6276,"PIGK; GPAA1; PIGT; PIGU; PIGS; PGAP1",0.9929
"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA",29,0.086,6.78,-0.328,0.6284,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.9929
"glycogenin",5,0.077,2.626,-0.333,0.6303,"GYG2; GYG1; PYGM; PYGB; PYGL",0.9929
"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA",27,0.052,6.529,-0.348,0.6361,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.9929
"chondroitin sulfate A (GalNAc4S-GlcA), free chain",8,0.177,3.354,-0.352,0.6375,"ARSB; HEXB; HYAL4; HEXD; HYAL2; HYAL1; HEXA; HYAL3",0.9929
"Ca2+",15,-0.018,4.768,-0.353,0.6379,"ATP2B4; ATP2B2; ATP2B1; SLC24A2; SLC24A1; ATP2A2; ATP2A3; ATP2C1",0.9929
"thiosulfate",4,0.268,2.305,-0.354,0.6383,"MPST; TST; SLC25A10; SLC13A1",0.9929
"1,2-diacylglycerol-chylomicron pool",12,0.301,4.228,-0.355,0.6387,"LPL; PNPLA3; LIPG; CEL; PNLIPRP1; DAGLB; PNPLA2; LIPE",0.9929
"1-phosphatidyl-1D-myo-inositol-5-phosphate",35,0.042,7.447,-0.358,0.6399,"PI4KB; PI4KA; PIK3C2B; PIK3C2A; PIK3C2G; PIP4P1; PIP4P2; PIP4K2C",0.9929
"4(S)-hydroxy-dodec-(6Z)-enoate",3,0.019,1.894,-0.358,0.6397,"ACAA2; HADHA; HADHB",0.9929
"dihydroceramide pool",10,0.049,3.788,-0.36,0.6406,"DEGS1; CERS4; CERS2; CERS5; CERS6; ASAH1; ACER2; ACER3",0.9929
"LacCer pool",46,0.13,8.534,-0.361,0.6411,"B4GALT1; B3GALT1; B3GNT3; B3GALT2; PIGZ; STT3B; GLT8D1; B4GALT5",0.9929
"trans,trans,cis-geranyl-geranyl-pp",3,0.281,1.916,-0.362,0.6414,"FDPS; GGPS1; DHDDS",0.9929
"CDP-choline",4,-0.052,2.249,-0.364,0.642,"CHPT1; CEPT1; PCYT1A; PCYT1B",0.9929
"12-keto-LTB4",27,0.092,6.498,-0.365,0.6423,"CBR3; CBR1; DHRS4; CYP4F22; CYP4F11; CYP4F2; CYP4F3; GSTM3",0.9929
"sphingosylphosphorylcholine",5,0.206,2.594,-0.365,0.6424,"SMPD1; ENPP7; SMPD4; SMPD3; SMPD2",0.9929
"PG-CL pool",3,0.161,1.908,-0.366,0.643,"CRLS1; PTPMT1; ABCA3",0.9929
"paragloboside",16,0.034,4.898,-0.366,0.6428,"B4GALT3; B4GALT2; B4GALT1; B4GALT4; ST3GAL6; GBGT1; FUT1; FUT2",0.9929
"3,7,24THCA-CoA",3,-0.051,1.906,-0.367,0.6433,"SLC27A2; SLC27A5; AMACR",0.9929
"chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S), free chain",8,0.177,3.354,-0.368,0.6437,"ARSB; HEXB; HYAL4; HEXD; HYAL2; HYAL1; HEXA; HYAL3",0.9929
"9-cis-retinol",11,-0.038,3.973,-0.369,0.6439,"RDH14; RDH11; RDH12; RDH13; RBP2; RBP1; RDH5; ADH4",0.9929
"chondroitin sulfate E (GalNAc4,6diS-GlcA), free chain",8,0.177,3.354,-0.369,0.6441,"ARSB; HEXB; HYAL4; HEXD; HYAL2; HYAL1; HEXA; HYAL3",0.9929
"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",29,0.07,6.775,-0.372,0.6451,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.9929
"chloroacetyl chloride",23,-0.223,5.964,-0.38,0.6482,"CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1; CYP1B1",0.9929
"eicosenoylcarnitine(7)",9,0.113,3.523,-0.384,0.6494,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"25(R)TetraHCA-CoA",3,-0.051,1.906,-0.385,0.6498,"SLC27A2; SLC27A5; AMACR",0.9929
"acetaminophen/paracetamol",8,-0.034,3.306,-0.385,0.65,"CYP2E1; CYP2A6; ABCB1; UGT1A6; UGT1A9; UGT1A1; SULT1A1; ABCC3",0.9929
"CMP",43,-0.015,8.288,-0.387,0.6507,"CHPT1; CEPT1; ADPRM; PGS1; CRLS1; CDIPT; SELENOI; ST3GAL1",0.9929
"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4",8,0.177,3.354,-0.389,0.6513,"ARSB; HEXB; HYAL4; HEXD; HYAL2; HYAL1; HEXA; HYAL3",0.9929
"octadecenoylcarnitine(11)",9,0.113,3.523,-0.39,0.6516,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"tetradecenoylcarnitine(7)",9,0.113,3.523,-0.391,0.652,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"docosahexaenoylcarnitine",9,0.113,3.523,-0.393,0.6527,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"4(R)-hydroxy-dodec-(6Z)-enoate",3,0.019,1.894,-0.394,0.6531,"ACAA2; HADHA; HADHB",0.9929
"(6Z,9Z)-octadecadienoylcarnitine",9,0.113,3.523,-0.397,0.6544,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; SLC22A1; CRAT; CPT2",0.9929
"palmitoleoyl-carnitine",9,0.113,3.523,-0.397,0.6544,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; SLC22A1; CRAT; CPT2",0.9929
"6-trans-LTB4",3,0.028,1.861,-0.398,0.6547,"CBR3; CBR1; DHRS4",0.9929
"(5Z,8Z,11Z)-eicosatrienoylcarnitine",9,0.113,3.523,-0.399,0.6551,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine",9,0.113,3.523,-0.4,0.6555,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; SLC22A1; CRAT; CPT2",0.9929
"2-lysolecithin pool",33,0.05,7.168,-0.401,0.6558,"FITM2; PLIN2; FITM1; BSCL2; PLIN1; PLIN3; PLIN4; PLA2G10",0.9929
"guanine",6,-0.062,2.848,-0.404,0.6567,"HPRT1; GDA; PNP; SLC29A2; QTRT2; QTRT1",0.9929
"tetradecenoylcarnitine(5)",9,0.113,3.523,-0.406,0.6575,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; SLC22A1; CRAT; CPT2",0.9929
"GD2",7,0.193,3.089,-0.408,0.6583,"B4GALNT1; B3GALT4; ST8SIA1; GLB1; HEXB; HEXA; NEU3",0.9929
"dehydroalanine",5,0.139,2.551,-0.408,0.6585,"SDSL; SDS; SRR; TPO; SULT1A3",0.9929
"20-COOH-10,11-dihydro-LTB4",3,0.028,1.861,-0.409,0.6586,"CBR3; CBR1; DHRS4",0.9929
"UDP-galactose",46,0.12,8.516,-0.41,0.6593,"B3GNT3; B4GALT1; B3GALT1; B3GALT2; PIGZ; STT3B; GLT8D1; B4GALT5",0.9929
"tRNA",4,-0.051,2.25,-0.41,0.6591,"PTRH1; MRPL58; PTRH2; TRIT1",0.9929
"heptadecenoylcarnitine(8)",9,0.113,3.523,-0.413,0.6601,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"bromobenzene-3,4-oxide",25,-0.192,6.161,-0.414,0.6606,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.9929
"heneicosanoylcarnitine",9,0.113,3.523,-0.414,0.6607,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"type I H glycolipid",6,-0.146,2.83,-0.414,0.6606,"FUT3; FUT1; FUT2; ABO; FUT6; FUT5",0.9929
"bromobenzene-2,3-oxide",25,-0.192,6.161,-0.415,0.6609,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.9929
"octadecenoylcarnitine(7)",9,0.113,3.523,-0.415,0.6609,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"1-nitronaphthalene-5,6-oxide",25,-0.192,6.161,-0.416,0.6612,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.9929
"10,11-dihydro-12R-hydroxy-LTC4",3,0.028,1.861,-0.416,0.6612,"CBR3; CBR1; DHRS4",0.9929
"4alpha-hydroxytetrahydrobiopterin",6,-0.152,2.835,-0.416,0.6612,"TPH1; TPH2; PCBD2; PCBD1; TH; PAH",0.9929
"IV2Fuc-Lc4Cer",6,-0.146,2.83,-0.416,0.6612,"FUT1; FUT2; ABO; FUT3; FUT6; FUT5",0.9929
"tetradecanoylcarnitine",9,0.113,3.523,-0.416,0.6613,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"type I B glycolipid",6,-0.146,2.83,-0.417,0.6616,"FUT1; FUT2; ABO; FUT3; FUT5; FUT6",0.9929
"acyl-CoA pool",34,0.071,7.244,-0.418,0.6622,"GPAT4; GPAT2; GPAT3; GPAM; AGPAT4; AGPAT2; MBOAT1; AGPAT3",0.9929
"6-trans-12-epi-LTB4",3,0.028,1.861,-0.42,0.6629,"CBR3; CBR1; DHRS4",0.9929
"sn-glycerol-3-PE",11,0.027,3.945,-0.42,0.6628,"PNPLA8; PLB1; CLCF1; PLA2G4A; LYPLA1; ASPG; PNPLA6; PNPLA7",0.9929
"12-oxo-10,11-dihydro-20-COOH-LTB4",3,0.028,1.861,-0.421,0.663,"CBR3; CBR1; DHRS4",0.9929
"docosanoylcarnitine",9,0.113,3.523,-0.422,0.6636,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"eicosenoylcarnitine(11)",9,0.113,3.523,-0.425,0.6645,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"(8Z,11Z)-eicosadienoylcarnitine",9,0.113,3.523,-0.427,0.6652,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine",9,0.113,3.523,-0.428,0.6656,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; SLC22A1; CRAT; CPT2",0.9929
"benzo[a]pyrene-7,8-diol",25,-0.192,6.161,-0.428,0.6658,"EPHX1; GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3",0.9929
"10,13,16,19-docosatetraenoylcarnitine",9,0.113,3.523,-0.429,0.666,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin",4,0.012,2.162,-0.43,0.6663,"ALPL; GCH1; PTS; ALPP",0.9929
"12-oxo-20-carboxy-LTB4",3,0.028,1.861,-0.432,0.6672,"CBR3; CBR1; DHRS4",0.9929
"chondroitin sulfate C (GalNAc6S-GlcA), precursor 3",8,0.215,3.281,-0.433,0.6675,"CSGALNACT1; CHSY3; CHPF; CSGALNACT2; CHSY1; CHST15; CHST7; CHST3",0.9929
"13,16,19-docosatrienoylcarnitine",9,0.113,3.523,-0.435,0.6683,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"L-palmitoylcarnitine",9,0.113,3.523,-0.435,0.6684,"SLC25A20; CPT1A; CPT2; CPT1C; CPT1B; SLC22A4; SLC22A1; CRAT",0.9929
"carnosine",7,0.036,3.022,-0.435,0.6682,"CARNS1; NAA10; CNDP1; CNDP2; SLC15A1; SLC15A4; SLC15A3",0.9929
"octadecenoylcarnitine(5)",9,0.113,3.523,-0.435,0.6682,"CPT1C; CPT1A; CPT1B; CPT2; SLC25A20; SLC22A4; SLC22A1; CRAT",0.9929
"5-oxo-EPE",3,0.028,1.861,-0.436,0.6684,"CBR3; CBR1; DHRS4",0.9929
"prostaglandin H1",5,0.215,2.52,-0.436,0.6686,"PTGS2; PTGS1; PTGES2; PTGES3; PTGES",0.9929
"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",3,0.028,1.861,-0.438,0.6692,"CBR3; CBR1; DHRS4",0.9929
"UDP-N-acetyl-D-galactosamine",28,0.087,6.497,-0.438,0.6695,"GBGT1; ST8SIA1; B4GALNT1; ABO; GALNT5; GALNT1; GALNT7; GALNT2",0.9929
"arachidonyl-carnitine",9,0.113,3.523,-0.443,0.671,"SLC25A20; CPT1A; CPT2; CPT1C; CPT1B; SLC22A4; SLC22A1; CRAT",0.9929
"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine",9,0.113,3.523,-0.445,0.6719,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; SLC22A1; CRAT; CPT2",0.9929
"5-deoxyadenosine",7,0.09,3.072,-0.446,0.6723,"FDXR; ISCA2; NFU1; GCSH; FDX1; LIAS; ISCA1",0.9929
"docosenoylcarnitine",9,0.113,3.523,-0.447,0.6727,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"(1S,2R)-naphthalene 1,2-oxide",25,-0.192,6.161,-0.449,0.6735,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.9929
"glycogen",4,-0.087,2.213,-0.451,0.6741,"PPP1R3B; PPP1R3C; GYS2; GYS1",0.9929
"1,2-diacylglycerol-LD-PS pool",22,0.159,5.705,-0.452,0.6745,"PLPP3; LPIN2; LPIN3; PLPP2; PLPP5; LPIN1; PLPP4; PLPPR2",0.9929
"TAG-LD pool",23,0.148,5.908,-0.452,0.6742,"FITM2; PLIN2; FITM1; BSCL2; PLIN1; PLIN3; PLIN4; DGAT2",0.9929
"octanoyl-[ACP]",5,0.28,2.469,-0.452,0.6744,"FASN; OXSM; LIPT2; NDUFAB1; GCSH",0.9929
"Cis-6-Dodecenoyl Coenzyme A",6,-0.078,2.81,-0.453,0.6748,"ACAA2; HADHA; HADHB; ACOX1; ACOX3; ACOX2",0.9929
"salsolinol-1-carboxylate",3,0.086,1.857,-0.453,0.6749,"LRTOMT; COMT; DDC",0.9929
"(1R,2S)-naphthalene 1,2-oxide",25,-0.192,6.161,-0.454,0.6751,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.9929
"adenylosuccinate",4,0.175,2.192,-0.454,0.6751,"ADSS1; ADSS2; TNRC6B; ADSL",0.9929
"eicosatrienoylcarnitine",9,0.113,3.523,-0.456,0.6758,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; SLC22A1; CRAT; CPT2",0.9929
"lactose",6,0.044,2.8,-0.461,0.6775,"GLB1L; LCT; GLB1; TMPPE; B4GALT2; B4GALT1",0.9929
"1-alkyl-2-lysoglycerol-3-phosphocholine",14,0.217,4.503,-0.462,0.678,"PAFAH1B3; PAFAH1B1; ASPG; PAFAH1B2; PAFAH2; PLA2G7; LPCAT4; LPCAT2",0.9929
"hexacosanoyl-CoA",29,0.045,6.574,-0.463,0.6782,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.9929
"docosenoylcarnitine(11)",9,0.113,3.523,-0.464,0.6786,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"eicosenoylcarnitine(9)",9,0.113,3.523,-0.464,0.6788,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"pentadecanoylcarnitine",9,0.113,3.523,-0.464,0.6788,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; SLC22A1; CRAT; CPT2",0.9929
"L-oleoylcarnitine",9,0.113,3.523,-0.466,0.6793,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"eicosanoylcarnitine",9,0.113,3.523,-0.466,0.6795,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; SLC22A1; CRAT; CPT2",0.9929
"heptanoyl-CoA",13,-0.06,4.26,-0.468,0.68,"ACSM3; ACSM2B; ACSM1; ACSM5; ACSM4; ACSM2A; ACAA2; HADHA",0.9929
"nLc6Cer",17,-0.005,4.919,-0.468,0.6799,"B3GNT3; B4GALT3; B4GALT2; B4GALT1; B4GALT4; B4GAT1; B3GNT2; B3GNT4",0.9929
"tetraHCA",3,-0.004,1.788,-0.47,0.681,"CYP27A1; SLC27A2; SLC27A5",0.9929
"12-hetre",3,0.002,1.892,-0.473,0.6817,"TECRL; PTGR1; HSD17B12",0.9929
"1-hydroxy S-ibuprofen",4,-0.391,2.118,-0.476,0.6828,"UGT1A3; UGT1A9; UGT2B7; CYP2C9",0.9929
"octadecatrienoylcarnitine",9,0.113,3.523,-0.48,0.6845,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"tetradecenoylcarnitine(9)",9,0.113,3.523,-0.48,0.6844,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; SLC22A1; CRAT; CPT2",0.9929
"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 3",4,-0.264,2.212,-0.482,0.6851,"KL; GUSB; ARSB; IDUA",0.9929
"glutaryl-CoA",6,-0.104,2.729,-0.482,0.685,"GCDH; CPT1C; CPT1A; CPT1B; DLST; DBI",0.9929
