"gs_name","gs_description","drug_name"
"HAEGERSTRAND_RESPONSE_TO_IMATINIB","Genes with the highest differential expression in primary tissue cultures of high grade glioma: responders vs non-responders to imatinib [PubChem=5291] treatment.","imatinib"
"HANN_RESISTANCE_TO_BCL2_INHIBITOR_DN","Genes down-regulated in SCLC (small cell lung cancer) cells with acquired resistance to ABT-737 [PubChem=11228183], an inhibitor of the BCL2 [GeneID=596] family proteins.","abt-737"
"HANN_RESISTANCE_TO_BCL2_INHIBITOR_UP","Genes up-regulated in SCLC (small cell lung cancer) cells with acquired resistance to ABT-737 [PubChem=11228183], an inhibitor of the BCL2 [GeneID=596] family proteins.","abt-737"
"HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS","Genes down-regulated in  tumor-conditioned vs quiescent endothelial cells and up-regulated upon treatment with decitabine and TSA [PubChem=451668;5562].","tsa"
"HELLER_HDAC_TARGETS_DN","Genes down-regulated in at least one of three multiple myeloma (MM) cell lines by TSA [PubChem=5562].","tsa"
"HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN","Genes down-regulated in multiple myeloma (MM) cell lines treated with both decitabine [PubChem=451668] TSA [PubChem=5562].","tsa"
"HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP","Genes up-regulated in multiple myeloma (MM) cell lines treated with both decitabine [PubChem=451668] TSA [PubChem=5562].","tsa"
"HELLER_HDAC_TARGETS_UP","Genes up-regulated in at least one of three multiple myeloma (MM) cell lines by TSA [PubChem=5562].","tsa"
"HELLER_SILENCED_BY_METHYLATION_DN","Genes down-regulated in at least one of three multiple myeloma (MM) cell lines treated with the DNA hypomethylating agent decitabine (5-aza-2'-deoxycytidine) [PubChem=451668].","(5-aza-2'-deoxycytidine)"
"HELLER_SILENCED_BY_METHYLATION_UP","Genes up-regulated in at least one of three multiple myeloma (MM) cell lines treated with the DNA hypomethylating agent decitabine (5-aza-2'-deoxycytidine) [PubChem=451668].","(5-aza-2'-deoxycytidine)"
