"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","drug_name"
"SATO_SILENCED_BY_DEACETYLATION_IN_PANCREATIC_CANCER","SATO_SILENCED_BY_DEACETYLATION_IN_PANCREATIC_CANCER",3,-0.438816894095663,-0.785591150129363,0.789954337899543,0.99604743083004,0.99604743083004,220,"tags=67%, list=44%, signal=38%","4804/3162",0.0439759278026345,"sato_silenced_by_deacetylation_in_pancreatic_cancer"
"SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN","SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN",17,-0.279302806733372,-0.783966364675329,0.792165397170838,0.99604743083004,0.99604743083004,206,"tags=53%, list=41%, signal=32%","54437/8974/11183/3097/83641/5019/51015/51635/8814",0.0279402790995263,"schaeffer_prostate_development_48hr_dn"
"PODAR_RESPONSE_TO_ADAPHOSTIN_UP","PODAR_RESPONSE_TO_ADAPHOSTIN_UP",6,0.293522267206478,0.781954446978566,0.815450643776824,0.99604743083004,0.99604743083004,355,"tags=100%, list=71%, signal=29%","440/3475/23645/9821/8974/3162",0.0943563635421779,"podar_response_to_adaphostin_up"
"SASSON_RESPONSE_TO_FORSKOLIN_DN","SASSON_RESPONSE_TO_FORSKOLIN_DN",3,-0.436619718309859,-0.781657660157051,0.794520547945205,0.99604743083004,0.99604743083004,284,"tags=100%, list=57%, signal=43%","87/3675/7414",0.0437125833579551,"sasson_response_to_forskolin_dn"
"WHITESIDE_CISPLATIN_RESISTANCE_DN","WHITESIDE_CISPLATIN_RESISTANCE_DN",1,0.577154308617234,0.779066341698583,0.853754940711462,0.99604743083004,0.99604743083004,212,"tags=100%, list=42%, signal=58%","6193",0.0523759084097997,"whiteside_cisplatin_resistance_dn"
"KOBAYASHI_EGFR_SIGNALING_24HR_UP","KOBAYASHI_EGFR_SIGNALING_24HR_UP",7,-0.343731898128583,-0.778748272019012,0.794007490636704,0.99604743083004,0.99604743083004,12,"tags=14%, list=2%, signal=14%","2036",0.034566432206351,"kobayashi_egfr_signaling_24hr_up"
"ZIRN_TRETINOIN_RESPONSE_UP","ZIRN_TRETINOIN_RESPONSE_UP",1,0.575150300601202,0.776361250234352,0.855731225296443,0.99604743083004,0.99604743083004,213,"tags=100%, list=43%, signal=58%","22795",0.0522693317499306,"zirn_tretinoin_response_up"
"LEE_LIVER_CANCER_CIPROFIBRATE_DN","LEE_LIVER_CANCER_CIPROFIBRATE_DN",1,-0.577154308617234,-0.775440046996366,0.834677419354839,0.99604743083004,0.99604743083004,213,"tags=100%, list=43%, signal=58%","3556",0.0543434390269162,"lee_liver_cancer_ciprofibrate_dn"
"KANG_CISPLATIN_RESISTANCE_UP","KANG_CISPLATIN_RESISTANCE_UP",1,0.571142284569138,0.770951067305889,0.861660079051383,0.99604743083004,0.99604743083004,215,"tags=100%, list=43%, signal=57%","2896",0.0519512476197082,"kang_cisplatin_resistance_up"
"SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_DN","SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_DN",1,0.571142284569138,0.770951067305889,0.861660079051383,0.99604743083004,0.99604743083004,215,"tags=100%, list=43%, signal=57%","2896",0.0519512476197082,"schlingemann_skin_carcinogenesis_tpa_dn"
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN",1,0.565130260521042,0.762835792913196,0.879446640316206,0.99604743083004,0.99604743083004,218,"tags=100%, list=44%, signal=57%","87",0.051011413203915,"bandres_response_to_carmustin_mgmt_24hr_dn"
"CHEOK_RESPONSE_TO_HD_MTX_UP","CHEOK_RESPONSE_TO_HD_MTX_UP",3,-0.422948590123493,-0.757182947674463,0.828006088280061,0.99604743083004,0.99604743083004,111,"tags=33%, list=22%, signal=26%","1511",0.0418238690062304,"cheok_response_to_hd_mtx_up"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3",2,-0.481016321065129,-0.75515417526556,0.85240464344942,0.99604743083004,0.99604743083004,128,"tags=50%, list=26%, signal=37%","4792",0.0444181153081573,"yao_temporal_response_to_progesterone_cluster_3"
"HELLER_SILENCED_BY_METHYLATION_DN","HELLER_SILENCED_BY_METHYLATION_DN",7,-0.333255206483941,-0.755012606056205,0.820224719101124,0.99604743083004,0.99604743083004,147,"tags=43%, list=29%, signal=31%","3162/5168/634",0.0330162512586498,"heller_silenced_by_methylation_dn"
"PEART_HDAC_PROLIFERATION_CLUSTER_UP","PEART_HDAC_PROLIFERATION_CLUSTER_UP",3,-0.421651840293365,-0.754861443638982,0.835616438356164,0.99604743083004,0.99604743083004,76,"tags=33%, list=15%, signal=28%","10668",0.0414044273760278,"peart_hdac_proliferation_cluster_up"
"MALIK_REPRESSED_BY_ESTROGEN","MALIK_REPRESSED_BY_ESTROGEN",1,0.555110220440882,0.74931033559204,0.897233201581028,0.99604743083004,0.99604743083004,223,"tags=100%, list=45%, signal=56%","64781",0.0500922874402106,"malik_repressed_by_estrogen"
"YIH_RESPONSE_TO_ARSENITE_C3","YIH_RESPONSE_TO_ARSENITE_C3",1,-0.557114228456914,-0.748515045364548,0.883064516129032,0.99604743083004,0.99604743083004,223,"tags=100%, list=45%, signal=56%","4706",0.0517405459873163,"yih_response_to_arsenite_c3"
"JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_DN","JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_DN",1,0.547094188376753,0.738489969735115,0.91304347826087,0.99604743083004,0.99604743083004,227,"tags=100%, list=45%, signal=55%","5836",0.0492917662312669,"joseph_response_to_sodium_butyrate_dn"
"WILENSKY_RESPONSE_TO_DARAPLADIB","WILENSKY_RESPONSE_TO_DARAPLADIB",2,-0.469459985559456,-0.737011724322203,0.87893864013267,0.99604743083004,0.99604743083004,147,"tags=50%, list=29%, signal=35%","3162",0.0430173196927508,"wilensky_response_to_darapladib"
